feature_key,supernode_label,motivation,nota,activation_max,activation_sum,activation_mean,sparsity_ratio
16_98048,Say Austin,"attivazione nettamente più forte su token funzionale 'is' prima di 'Austin, altra attivazione molto più lieve su token funzionale 'is' prima di 'Capital' parola semanticante vicina'",se fossero più o meno in parità privilegerei Capital per dare profondità semantica all'intepretazione (Austin è scontato è token output),25.979249954223633,30.72956657409668,3.414396286010742,0.8685721761780255
15_15,error,,,0.0,0.0,0.0,0.0
14_14,error,,,0.0,0.0,0.0,0.0
13_13,error,,,0.0,0.0,0.0,0.0
7_24743,Texas,Attivazione solo su Texas,,13.514944076538086,26.310606002807617,2.9234006669786243,0.7836912494478138
7_3144,Seat,"non è una feature sayX: attivazione più debole su token funzionale 'is' prima di 'Austin, presenza di attivazione forte su token semantico Seat",,19.090129852294922,91.89447498321533,5.10524861017863,0.73257129995033
7_89264,Say (Austin),"Attivazione nettamente più forte su token funzionale 'is' prima di Austin, su 'is' dallas molto più debole",,8.95943546295166,8.95943546295166,0.9954928292168511,0.8888888888888888
1_12928,Schema,"layer ≤ 3, altissima attivazione, varianza bassa, attivazioni uniformi e molto alte su ruoli semantici generali; funzione di scaffolding concettuale del prompt",,117.0110092163086,1233.4596061706543,84.85865478515625,0.4143667836462297
12_12,error,,,0.0,0.0,0.0,0.0
12_87969,Say (Capital),"attivazione più forte su token funzionale 'the' prima di Capital, altra attivazione più lieve su token funzionale 'is' prima di 'Austin' parola semanticante vicina'",,30.106826782226562,84.44636726379395,4.691464847988552,0.8441727226212316
11_11,,,,0.0,0.0,0.0,0.0
1_52044,Relationship,"layer medio-basso, più picchi distinti, max activation diversa da media activation",,125.9399642944336,1567.5587120056152,87.08659511142307,0.32051524070171933
1_57794,Schema,"layer ≤ 3, altissima attivazione, varianza bassa, attivazioni uniformi e molto alte su ruoli semantici generali; funzione di scaffolding concettuale del prompt",,125.45741271972656,1323.6235656738281,87.22305806477864,0.4138676946757048
1_72774,Relationship,"layer medio-basso, più picchi distinti, max activation diversa da media activation",,122.51927185058594,1543.6992301940918,85.76106834411621,0.30001976792105733
1_89326,Dallas,Unica attivazione solo su Dallas,,69.7168960571289,69.7168960571289,6.971689605712891,0.9
0_0,error,,,0.0,0.0,0.0,0.0
0_1861,Texas,attivazioni solo su texas embedding,,55.28260040283203,80.40324020385742,8.933693355984158,0.9
0_18753,,,,61.58338928222656,339.04509353637695,22.187774385724747,0.682353375146094
0_230,is,"attivazione su token funzionale 'is' ma aselettiva,",,47.897682189941406,71.13797760009766,5.144643995496962,0.9
0_32742,Texas,attivazione solo su texas,,52.179874420166016,88.8308334350586,8.88308334350586,0.8505320813668551
0_37567,Containing,unica attivazione solo su containing,,41.10612106323242,41.10612106323242,2.9361515045166016,0.9285714285714286
0_39374,is,"attivazione su token funzionale 'is' ma aselettiva,",,21.213979721069336,23.16886329650879,2.150520536634657,0.9
0_40780,is,"diverse functional token (nessuna semantica), ma influenza massima su is",,59.61247253417969,401.44727325439453,28.67480523245675,0.5189797702818713
0_40936,of,attivazioni significative solo su of,,80.70610809326172,80.70610809326172,8.472560458713108,0.9444444444444445
0_49560,is,attivazione aselettiva su is,,54.55234146118164,104.65689086914062,7.475492204938616,0.8629666114284383
0_5200,is,attivazione aselettiva su is,,47.27579116821289,59.72468566894531,4.869810316297743,0.9
0_55815,capital,unica attivazione solo su capital,,57.75386428833008,57.75386428833008,5.963551415337457,0.9444444444444444
0_91045,is,attivazione aselettiva su is,,62.285972595214844,113.89995193481445,8.135710852486747,0.8693813307635213
0_95057,punctuation,attuazione solo su ':',,45.497901916503906,195.79615783691406,16.74211540222168,0.7609216278975872

